ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_076627	NR_076627	Halorubrum lacusprofundi (Franzmann et al. 1989) McGenity and Grant 1996			TYPE	ATCC:49239		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum_lacusprofundi
NR_076620	NR_076620	Methanosphaerula palustris Cadillo-Quiroz et al. 2009			TYPE	DSM:19958		species	USA	New York	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;Methanosphaerula_palustris
NR_076600	NR_076600	Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001 emend. Perevalova et al. 2016			TYPE	DSM:18924		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus_amylolyticus
NR_076543	NR_076543	"Thermococcus onnurineus" Bae et al. 2006			TYPE			genus			materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;"Thermococcus_onnurineus"
NR_076534	NR_076534	Ignicoccus hospitalis Paper et al. 2007			TYPE	DSM:18386		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus_hospitalis
NR_076527	NR_076527	Methanoregula boonei Brauer et al. 2011			TYPE	DSM:21154		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula_boonei
NR_076518	NR_076518	"Methanococcus aeolicus" Schmid et al. 1984			TYPE	DSM:17508		genus			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;"Methanococcus_aeolicus"
NR_076517	NR_076517	Methanococcus vannielii Stadtman and Barker 1951			TYPE	ATCC:35089		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus_vannielii
NR_076502	NR_076502	Metallosphaera sedula Huber et al. 1989			TYPE	DSM:5348		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera_sedula
NR_076498	NR_076498	Methanobrevibacter smithii Balch and Wolfe 1981			TYPE	ATCC:35061		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter_smithii
NR_076485	NR_076485	Staphylothermus marinus Stetter and Fiala 1986			TYPE	ATCC:43588		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus_marinus
NR_076481	NR_076481	Methanoculleus marisnigri (Romesser et al. 1981) Maestrojun et al. 1990			TYPE	ATCC:35101		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus_marisnigri
NR_076479	NR_076479	Methanocorpusculum labreanum Zhao et al. 1989			TYPE	DSM:4855		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;Methanocorpusculum_labreanum
NR_076464	NR_076464	Thermofilum pendens Zillig and Gierl 1983						species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermofilales;Thermofilaceae;Thermofilum;Thermofilum_pendens
NR_076463	NR_076463	Pyrobaculum islandicum Huber et al. 1988			TYPE	DSM:4184		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_islandicum
NR_076456	NR_076456	"Methanothrix thermoacetophila" Nozhevnikova and Chudina 1984			TYPE	DSM:6194		genus			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;"Methanothrix_thermoacetophila"
