ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NG_063019	NG_063019	Rhodotorula dairenensis (T. Haseg. & I. Banno) Denchev & T. Denchev, 2021			LECTOTYPE	CBS:4406		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula_dairenensis
NG_063018	NG_063018	Rhodotorula taiwanensis F.L. Lee & C.H. Huan g ex Denchev & T. Denchev, 2021 F.L. Lee & C.H. Huang ex Denchev & T. Denchev, 2021			TYPE	CBS:11729		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula_taiwanensis
NG_063017	NG_063017	Rhodotorula evergladensis Fell, Statzell & Scorzetti, 2011			HOLOTYPE	CBS:10880		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula_evergladensis
NG_063016	NG_063016	Rhodotorula pacifica Nagah. & Hamam., 2006			HOLOTYPE	CBS:10070		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula_pacifica
NG_063014	NG_063014	Cladophialophora sylvestris Crous & de Hoog, 2007			HOLOTYPE	CBS:350.83		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_sylvestris
NG_063013	NG_063013	Cladophialophora proteae Viljoen & Crous, 1998			HOLOTYPE	CBS:111667		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_proteae
NG_063012	NG_063012	Cladophialophora humicola Crous & U. Braun, 2007			HOLOTYPE	CBS:117536		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_humicola
NG_063009	NG_063009	Ascotricha lusitanica R.G. Kenneth, 1971			ISOTYPE	CBS:462.70		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;Ascotricha;Ascotricha_lusitanica
NG_063008	NG_063008	Saccharata kirstenboschensis Crous & A.R. Wood, 2008			TYPE	CBS:123537		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Saccharataceae;Saccharata;Saccharata_kirstenboschensis
NG_063007	NG_063007	Phyllosticta citriasiana Wulandari, Crous & Gruyter, 2009			HOLOTYPE	CBS:120486		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Phyllostictaceae;Phyllosticta;Phyllosticta_citriasiana
NG_063006	NG_063006	Phyllosticta beaumarisii A.P. Paul & M.D. Blackburn, 1986			TYPE	CBS:535.87		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Phyllostictaceae;Phyllosticta;Phyllosticta_beaumarisii
NG_063005	NG_063005	Diplodia africana Damm & Crous, 2008			TYPE	CBS:120835		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Botryosphaeriaceae;Diplodia;Diplodia_africana
NG_063004	NG_063004	Aplosporella prunicola Damm & Crous, 2007			HOLOTYPE	CBS:121167		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Aplosporellaceae;Aplosporella;Aplosporella_prunicola
NG_063003	NG_063003	Sporoschismopsis angustata Réblová, 2014			HOLOTYPE	PRM:922622		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Glomerellales;Reticulascaceae;Sporoschismopsis;Sporoschismopsis_angustata
NG_063002	NG_063002	Malassezia slooffiae J. Guillot, Midgley & E. Guého, 1996			TYPE	CBS:7956		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia_slooffiae
NG_063001	NG_063001	Malassezia caprae J. Cabanes & Boekhout 2007			TYPE	CBS:10434		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia_caprae
NG_063000	NG_063000	Malassezia dermatis Sugita, M. Takash., A. Nishikawa & Shinoda, 2002			TYPE	CBS:9169		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia_dermatis
NG_062999	NG_062999	Parathyridaria percutanea (S.A. Ahmed et al.) Jaklitsch & Voglmayr, 2016			HOLOTYPE	CBS:868.95		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Pleosporales;Thyridariaceae;Parathyridaria;Parathyridaria_percutanea
